Company Name,Title,Location,Stipend,Work From Home
Pereyan LLP,YouTube Channel Management,Pune,"₹ 10,000-15,000 /month",No
Pereyan LLP,Blog Writing,Bangalore,"₹ 5,000-15,000 /month",No
Pereyan LLP,Product Listing & Catalog Management,Bangalore,"₹ 10,000 /month",No
Tring,Celebrity Onboarding,Bangalore,"₹ 9,350 /month",No
FlytBase Labs,Social Media,Bangalore,"₹ 10,000-25,000 /month",No
Pereyan LLP,Poster Design,Bangalore,"₹ 10,000-15,000 /month",No
Pereyan LLP,Graphic Design,Navi Mumbai,"₹ 10,000-15,000 /month",No
Combat Robotics India Private Limited,Mechanical Engineering,Mumbai,"₹ 12,000 /month",No
The Affordable Organic Store,Digital Marketing,Pune,"₹ 15,000 /month",No
Pereyan LLP,Video Script Writing,Bangalore,"₹ 5,000-15,000 /month",No
Plan-a,Graphic Design,Bangalore,"₹ 8,000-10,000 /month",No
DeepThought Edutech Ventures Private Limited,Product Development,Pimpri-Chinchwad,"₹ 18,000 /month",No
Crossing Hurdles,Legal,Hyderabad,"₹ 20,000-30,000 /month",No
TekHook,Field Sales,Bangalore,"₹ 12,000 /month",No
CoreSwipe Technologies (OPC) Private Limited,Content Writing,Pune,"₹ 10,000 /month",No
MiM-Essay,Search Engine Optimization (SEO),Hyderabad,"₹ 8,000-12,000 /month",No
Karyarth Consultants,Management,Bangalore,"₹ 3,000-8,000 /month",No
Kaholas,Business Development (Enterprise Sales),Indore,"₹ 12,000-15,000 /month",No
RTI International,Energy Research,Pune,"₹ 10,000 /month",No
Rentkar-Switch To Share,Law/Legal,Mumbai,"₹ 12,000-14,000 /month",No
Street Style Store,Creative Direction (Videography),Nagpur,"₹ 10,000 /month",No
Thomas Cook,Law/Legal,Delhi,"₹ 3,000 /month",No
Unimonks,General Management (Academic),Delhi,"₹ 7,000-18,000 /month",No
KGS Fintech Private Limited (Capitall),Program Management,Work From Home,"₹ 3,000 /month",Yes
Faisal Shaikh,Finance & Accounting,Delhi,"₹ 10,000-15,000 /month",No
Bijon Trading Private Limited (Genotek),Content Mangement & Graphic Design,Delhi,"₹ 8,000 /month +  Incentives",No
Sarvam Foundation,Project Coordination (Administration),Mumbai,"₹ 5,000 /month",No
Street Style Store,Art Direction (Fashion Photography For Branding And Social Media Content),Gurgaon,"₹ 10,000 /month",No
Cynergi,Legal Tech Product,Noida,"₹ 5,000 /month",No
Kaholas,Graphic Design,Delhi,"₹ 12,000-15,000 /month",No
Chirpn IT Solutions,Corporate/Finance And Legal Management,Mumbai,"₹ 5,000 /month",No
Akrati Jewels Incorporation,E-commerce,Delhi,"₹ 10,000 /month",No
Triponam,Trip Leadership,Delhi,"₹ 6,000-10,000 /month",No
Deepwoods Green Initiatives,Sustainability,Navi Mumbai,"₹ 10,000 /month",No
CloudBird Digital Private Limited,Admin/Account,Mumbai,"₹ 10,000-15,000 /month",No
Primary Healthtech,Pharmaceutical Science,Mira Bhayandar,"₹ 5,000-10,000 /month",No
Akrati Jewels Incorporation,E-commerce,Work From Home,"₹ 10,000 /month",Yes
Combat Robotics India Private Limited,Instrumentation and Control Engineering,Delhi,"₹ 15,000 /month",No
Edufront Technologies Pvt. Ltd,Robotics And STEM,Gurgaon,"₹ 10,000 /month",No
DeepThought Edutech Ventures Private Limited,Technology Project Management,Delhi,"₹ 18,000 /month",No
DeepThought Edutech Ventures Private Limited,Product Management,Gurgaon,"₹ 18,000 /month",No
Requin Solutions Private Limited,Subject Matter Expert - Cyber Security,Noida,"₹ 10,000-12,000 /month",No
Daphnis Labs Technologies Private Limited,Backend Development (Node.js),Mumbai,"₹ 8,000-10,000 /month",No
Stareout Games,Native Android App Development,Delhi,"₹ 15,000-25,000 /month",No
Density Exchange,Portfolio Management,Jodhpur,"₹ 5,000 /month",No
